date,amount,debit_amount,credit_amount,account_code,account_name,vendor,description,journal_ref,dr_cr_pattern
2024-09-12,6756.91,6756.91,0.0,6000,Salaries Expense,Bridgepoint Travel,Subscription renewal,JE-10441,standard
2024-04-01,5706.45,0.0,5706.45,4000,Sales Revenue,Bayview Logistics,Supplies order,JE-10442,standard
2024-06-29,722.41,722.41,0.0,6700,Software Subscriptions,Customer C Holdings,Routine purchase,JE-10443,non_standard
2024-08-30,6721.46,6721.46,0.0,6000,Salaries Expense,Reliant Repair Services,Recurring charge,JE-10444,standard
2024-05-21,1128.27,1128.27,0.0,6800,Insurance Expense,Customer B LLC,Supplies order,JE-10445,non_standard
2024-10-24,8758.5,0.0,8758.5,4000,Sales Revenue,Customer A Corp,Service rendered,JE-10446,standard
2024-03-25,4734.9,0.0,4734.9,2000,Accounts Payable,Customer C Holdings,Service rendered,JE-10447,standard
2024-01-01,107.83,107.83,0.0,6500,Travel & Entertainment,Customer A Corp,Supplies order,JE-10448,non_standard
2024-01-23,281.3,281.3,0.0,6700,Software Subscriptions,Apex Payroll Services,Reimbursement,JE-10449,non_standard
2024-12-08,646.07,646.07,0.0,6200,Utilities Expense,Customer A Corp,Reimbursement,JE-10450,non_standard
2024-05-17,5740.33,5740.33,0.0,1200,Accounts Receivable,Customer B LLC,Subscription renewal,JE-10451,standard
2024-01-16,4665.84,0.0,4665.84,4100,Service Revenue,Bayview Logistics,Service rendered,JE-10452,standard
2024-07-17,335.77,335.77,0.0,6300,Office Supplies,Acme Supplies Inc,Subscription renewal,JE-10453,non_standard
2024-07-21,2319.45,0.0,2319.45,2000,Accounts Payable,Bayview Logistics,Supplies order,JE-10454,standard
2024-07-24,1210.31,1210.31,0.0,6800,Insurance Expense,Summit Marketing Group,Subscription renewal,JE-10455,non_standard
2024-08-02,3447.06,3447.06,0.0,1200,Accounts Receivable,Apex Payroll Services,Service rendered,JE-10456,standard
2024-08-28,1586.04,1586.04,0.0,6600,Marketing Expense,Standard Bank,Vendor payment,JE-10457,non_standard
2024-07-10,3124.48,3124.48,0.0,7000,Cash Disbursements,Standard Bank,Monthly invoice,JE-10458,standard
2024-08-29,3486.58,0.0,3486.58,2000,Accounts Payable,Citywide Rentals LLC,Service rendered,JE-10459,standard
2024-06-13,928.33,928.33,0.0,5000,Cost of Goods Sold,Greenline Insurance,Vendor payment,JE-10460,non_standard
2024-11-04,851.48,851.48,0.0,6900,Repairs & Maintenance,Customer B LLC,Routine purchase,JE-10461,non_standard
2024-06-12,200.86,200.86,0.0,6700,Software Subscriptions,Vector IT Solutions,Monthly invoice,JE-10462,non_standard
2024-08-29,2931.08,2931.08,0.0,6100,Rent Expense,Customer D Industries,Routine purchase,JE-10463,non_standard
2024-08-01,4077.8,4077.8,0.0,5100,Inventory Purchases,Bridgepoint Travel,Monthly invoice,JE-10464,standard
2024-08-06,50.0,50.0,0.0,6500,Travel & Entertainment,Quantum Software Inc,Supplies order,JE-10465,non_standard
2024-08-20,3097.77,0.0,3097.77,4100,Service Revenue,Bayview Logistics,Reimbursement,JE-10466,standard
2024-03-19,2484.66,0.0,2484.66,4100,Service Revenue,Quantum Software Inc,Monthly invoice,JE-10467,standard
2024-07-08,63.89,63.89,0.0,6900,Repairs & Maintenance,Customer B LLC,Routine purchase,JE-10468,non_standard
2024-12-16,6886.08,0.0,6886.08,4100,Service Revenue,Quantum Software Inc,Subscription renewal,JE-10469,standard
2024-11-09,6407.21,6407.21,0.0,1200,Accounts Receivable,Pacific Office Co,Routine purchase,JE-10470,standard
2024-10-21,4152.3,4152.3,0.0,1200,Accounts Receivable,Vector IT Solutions,Equipment lease,JE-10471,standard
2024-07-09,583.44,583.44,0.0,6200,Utilities Expense,Customer D Industries,Equipment lease,JE-10472,non_standard
2024-03-31,1024.61,0.0,1024.61,2000,Accounts Payable,Reliant Repair Services,Monthly invoice,JE-10473,standard
2024-01-15,1315.15,1315.15,0.0,6010,Payroll Tax Expense,Bridgepoint Travel,Supplies order,JE-10474,standard
2024-10-01,1871.51,0.0,1871.51,2000,Accounts Payable,Greenline Insurance,Routine purchase,JE-10475,standard
2024-06-07,3882.51,3882.51,0.0,5000,Cost of Goods Sold,Bayview Logistics,Subscription renewal,JE-10476,non_standard
2024-06-09,2925.15,2925.15,0.0,6100,Rent Expense,Quantum Software Inc,Reimbursement,JE-10477,non_standard
2024-02-13,2815.35,2815.35,0.0,5000,Cost of Goods Sold,Bayview Logistics,Recurring charge,JE-10478,non_standard
2024-12-26,767.07,767.07,0.0,6010,Payroll Tax Expense,Customer C Holdings,Monthly invoice,JE-10479,standard
2024-06-05,627.54,627.54,0.0,6500,Travel & Entertainment,Standard Bank,Routine purchase,JE-10480,non_standard
2024-07-17,1119.65,1119.65,0.0,6010,Payroll Tax Expense,Reliant Repair Services,Routine purchase,JE-10481,standard
2024-03-03,2873.91,2873.91,0.0,6100,Rent Expense,Customer C Holdings,Vendor payment,JE-10482,non_standard
2024-02-07,1005.52,1005.52,0.0,6900,Repairs & Maintenance,Pacific Office Co,Routine purchase,JE-10483,non_standard
2024-08-09,1409.5,1409.5,0.0,6600,Marketing Expense,Summit Marketing Group,Reimbursement,JE-10484,non_standard
2024-01-24,516.53,516.53,0.0,6900,Repairs & Maintenance,Northstar Utilities,Subscription renewal,JE-10485,non_standard
2024-08-19,1061.32,1061.32,0.0,6500,Travel & Entertainment,Summit Marketing Group,Service rendered,JE-10486,non_standard
2024-06-07,3108.17,0.0,3108.17,4100,Service Revenue,Customer C Holdings,Equipment lease,JE-10487,standard
2024-03-23,179.39,179.39,0.0,6300,Office Supplies,Summit Marketing Group,Routine purchase,JE-10488,non_standard
2024-11-07,5780.73,5780.73,0.0,6000,Salaries Expense,Customer C Holdings,Monthly invoice,JE-10489,standard
2024-02-20,2378.01,2378.01,0.0,5000,Cost of Goods Sold,Acme Supplies Inc,Subscription renewal,JE-10490,non_standard
2024-01-26,5963.54,0.0,5963.54,4100,Service Revenue,Bridgepoint Travel,Equipment lease,JE-10491,standard
2024-12-22,8275.77,0.0,8275.77,4000,Sales Revenue,Apex Payroll Services,Recurring charge,JE-10492,standard
2024-08-23,2081.06,2081.06,0.0,7000,Cash Disbursements,Apex Payroll Services,Reimbursement,JE-10493,standard
2024-03-31,229.65,229.65,0.0,6500,Travel & Entertainment,Quantum Software Inc,Monthly invoice,JE-10494,non_standard
2024-01-25,153.43,153.43,0.0,6300,Office Supplies,Customer A Corp,Equipment lease,JE-10495,non_standard
2024-10-22,3634.39,0.0,3634.39,4000,Sales Revenue,Customer D Industries,Service rendered,JE-10496,standard
2024-10-15,668.12,668.12,0.0,6500,Travel & Entertainment,Pacific Office Co,Monthly invoice,JE-10497,non_standard
2024-09-11,547.81,547.81,0.0,6500,Travel & Entertainment,Standard Bank,Reimbursement,JE-10498,non_standard
2024-08-29,4567.58,0.0,4567.58,4100,Service Revenue,Reliant Repair Services,Recurring charge,JE-10499,standard
2024-01-09,7375.77,0.0,7375.77,4000,Sales Revenue,Citywide Rentals LLC,Monthly invoice,JE-10500,standard
2024-02-12,1061.34,1061.34,0.0,6010,Payroll Tax Expense,Customer D Industries,Recurring charge,JE-10501,standard
2024-08-07,1661.78,0.0,1661.78,4100,Service Revenue,Summit Marketing Group,Subscription renewal,JE-10502,standard
2024-02-04,1668.51,0.0,1668.51,2000,Accounts Payable,Acme Supplies Inc,Recurring charge,JE-10503,standard
2024-05-06,693.7,693.7,0.0,6200,Utilities Expense,Vector IT Solutions,Supplies order,JE-10504,non_standard
2024-05-24,9904.49,9904.49,0.0,6400,Professional Fees,Reliant Repair Services,Recurring charge,JE-10505,standard
2024-03-11,2962.72,2962.72,0.0,6100,Rent Expense,Quantum Software Inc,Service rendered,JE-10506,non_standard
2024-06-17,628.73,628.73,0.0,6010,Payroll Tax Expense,Customer B LLC,Equipment lease,JE-10507,standard
2024-08-29,9619.24,0.0,9619.24,4000,Sales Revenue,Standard Bank,Routine purchase,JE-10508,standard
2024-01-07,50.0,50.0,0.0,5000,Cost of Goods Sold,Citywide Rentals LLC,Equipment lease,JE-10509,non_standard
2024-05-15,316.57,316.57,0.0,6200,Utilities Expense,Citywide Rentals LLC,Recurring charge,JE-10510,non_standard
2024-01-24,1151.7,1151.7,0.0,6400,Professional Fees,Vector IT Solutions,Recurring charge,JE-10511,standard
2024-11-12,5913.1,5913.1,0.0,5000,Cost of Goods Sold,Bridgepoint Travel,Service rendered,JE-10512,non_standard
2024-06-20,3075.33,3075.33,0.0,6100,Rent Expense,Greenline Insurance,Monthly invoice,JE-10513,non_standard
2024-08-24,301.3,301.3,0.0,6700,Software Subscriptions,Acme Supplies Inc,Vendor payment,JE-10514,non_standard
2024-02-16,2158.38,2158.38,0.0,6400,Professional Fees,Vector IT Solutions,Supplies order,JE-10515,standard
2024-03-07,2003.5,2003.5,0.0,5000,Cost of Goods Sold,Customer B LLC,Recurring charge,JE-10516,non_standard
2024-03-19,2014.21,2014.21,0.0,6600,Marketing Expense,Customer D Industries,Vendor payment,JE-10517,non_standard
2024-12-25,7744.64,7744.64,0.0,1200,Accounts Receivable,Northstar Utilities,Recurring charge,JE-10518,standard
2024-12-24,336.39,336.39,0.0,6900,Repairs & Maintenance,Apex Payroll Services,Vendor payment,JE-10519,non_standard
2024-01-11,4291.38,4291.38,0.0,7000,Cash Disbursements,Customer C Holdings,Service rendered,JE-10520,standard
2024-04-05,819.2,819.2,0.0,6500,Travel & Entertainment,Customer D Industries,Equipment lease,JE-10521,non_standard
2024-02-15,7156.08,7156.08,0.0,6000,Salaries Expense,Reliant Repair Services,Routine purchase,JE-10522,standard
2024-05-07,50.0,50.0,0.0,6500,Travel & Entertainment,Reliant Repair Services,Recurring charge,JE-10523,non_standard
2024-03-29,895.69,895.69,0.0,6800,Insurance Expense,Reliant Repair Services,Service rendered,JE-10524,non_standard
2024-05-01,1527.73,1527.73,0.0,6400,Professional Fees,Northstar Utilities,Monthly invoice,JE-10525,standard
2024-10-13,3009.93,3009.93,0.0,6100,Rent Expense,Citywide Rentals LLC,Equipment lease,JE-10526,non_standard
2024-07-29,5255.22,0.0,5255.22,4100,Service Revenue,Reliant Repair Services,Service rendered,JE-10527,standard
2024-06-10,7090.94,7090.94,0.0,6000,Salaries Expense,Apex Payroll Services,Vendor payment,JE-10528,standard
2024-02-27,6800.47,6800.47,0.0,1200,Accounts Receivable,Apex Payroll Services,Subscription renewal,JE-10529,standard
2024-06-23,2343.43,2343.43,0.0,6400,Professional Fees,Standard Bank,Supplies order,JE-10530,standard
2024-05-30,4767.78,0.0,4767.78,2000,Accounts Payable,Greenline Insurance,Reimbursement,JE-10531,standard
2024-12-16,365.66,365.66,0.0,6200,Utilities Expense,Quantum Software Inc,Monthly invoice,JE-10532,non_standard
2024-04-15,8060.55,8060.55,0.0,5100,Inventory Purchases,Standard Bank,Service rendered,JE-10533,standard
2024-10-08,3800.48,0.0,3800.48,2000,Accounts Payable,Acme Supplies Inc,Vendor payment,JE-10534,standard
2024-12-31,3040.71,3040.71,0.0,6100,Rent Expense,Pacific Office Co,Subscription renewal,JE-10535,non_standard
2024-02-26,631.55,631.55,0.0,6900,Repairs & Maintenance,Standard Bank,Routine purchase,JE-10536,non_standard
2024-06-18,1005.81,1005.81,0.0,6900,Repairs & Maintenance,Customer D Industries,Reimbursement,JE-10537,non_standard
2024-03-31,3102.25,0.0,3102.25,4100,Service Revenue,Pacific Office Co,Recurring charge,JE-10538,standard
2024-12-09,4221.29,4221.29,0.0,5000,Cost of Goods Sold,Acme Supplies Inc,Supplies order,JE-10539,non_standard
2024-10-09,162.81,162.81,0.0,6500,Travel & Entertainment,Customer A Corp,Equipment lease,JE-10540,non_standard
2024-08-29,253.24,253.24,0.0,6900,Repairs & Maintenance,Acme Supplies Inc,Reimbursement,JE-10541,non_standard
2024-08-22,351.35,351.35,0.0,6500,Travel & Entertainment,Customer C Holdings,Monthly invoice,JE-10542,non_standard
2024-03-03,355.95,355.95,0.0,6300,Office Supplies,Vector IT Solutions,Recurring charge,JE-10543,non_standard
2024-02-29,608.68,608.68,0.0,6300,Office Supplies,Pacific Office Co,Routine purchase,JE-10544,non_standard
2024-02-22,391.53,391.53,0.0,6500,Travel & Entertainment,Standard Bank,Supplies order,JE-10545,non_standard
2024-07-24,3034.76,3034.76,0.0,6100,Rent Expense,Reliant Repair Services,Vendor payment,JE-10546,non_standard
2024-08-26,2386.54,2386.54,0.0,6600,Marketing Expense,Customer C Holdings,Vendor payment,JE-10547,non_standard
2024-01-02,471.44,471.44,0.0,6200,Utilities Expense,Vista Trading Co #1909,Service rendered,JE-10548,non_standard
2024-06-27,650.74,650.74,0.0,6500,Travel & Entertainment,Customer B LLC,Vendor payment,JE-10549,non_standard
2024-08-08,647.57,647.57,0.0,6010,Payroll Tax Expense,Customer C Holdings,Subscription renewal,JE-10550,standard
2024-10-03,2969.89,2969.89,0.0,6100,Rent Expense,Greenline Insurance,Equipment lease,JE-10551,non_standard
2024-07-09,2040.68,2040.68,0.0,5100,Inventory Purchases,Greenline Insurance,Subscription renewal,JE-10552,standard
2024-04-30,6594.36,6594.36,0.0,6000,Salaries Expense,Summit Marketing Group,Vendor payment,JE-10553,standard
2024-08-30,3790.45,3790.45,0.0,1200,Accounts Receivable,Apex Payroll Services,Vendor payment,JE-10554,standard
2024-01-16,4856.24,4856.24,0.0,6000,Salaries Expense,Quantum Software Inc,Recurring charge,JE-10555,standard
2024-08-27,1514.5,1514.5,0.0,6400,Professional Fees,Customer B LLC,Vendor payment,JE-10556,standard
2024-06-24,1001.25,1001.25,0.0,6500,Travel & Entertainment,Apex Payroll Services,Subscription renewal,JE-10557,non_standard
2024-04-22,5436.44,0.0,5436.44,4000,Sales Revenue,Apex Payroll Services,Subscription renewal,JE-10558,standard
2024-01-25,144.68,144.68,0.0,6300,Office Supplies,Bridgepoint Travel,Recurring charge,JE-10559,non_standard
2024-06-27,2738.36,0.0,2738.36,2000,Accounts Payable,Northstar Utilities,Routine purchase,JE-10560,standard
2024-08-14,2902.83,2902.83,0.0,6100,Rent Expense,Pacific Office Co,Subscription renewal,JE-10561,non_standard
2024-07-23,305.68,305.68,0.0,6700,Software Subscriptions,Customer C Holdings,Supplies order,JE-10562,non_standard
2024-03-21,7091.98,7091.98,0.0,6000,Salaries Expense,Customer B LLC,Equipment lease,JE-10563,standard
2024-04-05,1126.87,1126.87,0.0,6800,Insurance Expense,Customer D Industries,Subscription renewal,JE-10564,non_standard
2024-09-25,1173.53,1173.53,0.0,6800,Insurance Expense,Bridgepoint Travel,Reimbursement,JE-10565,non_standard
2024-09-13,23868.79,23868.79,0.0,6400,Professional Fees,Standard Bank,Subscription renewal,JE-10566,standard
2024-06-13,180.05,180.05,0.0,6900,Repairs & Maintenance,Summit Marketing Group,Recurring charge,JE-10567,non_standard
2024-11-21,174.99,174.99,0.0,6700,Software Subscriptions,Acme Supplies Inc,Vendor payment,JE-10568,non_standard
2024-01-27,273.55,273.55,0.0,6300,Office Supplies,Bayview Logistics,Recurring charge,JE-10569,non_standard
2024-06-19,5222.06,0.0,5222.06,4100,Service Revenue,Reliant Repair Services,Subscription renewal,JE-10570,standard
2024-04-01,1173.1,1173.1,0.0,6800,Insurance Expense,Apex Payroll Services,Supplies order,JE-10571,non_standard
2024-02-19,3382.47,0.0,3382.47,2000,Accounts Payable,Customer C Holdings,Routine purchase,JE-10572,standard
2024-08-22,1010.11,1010.11,0.0,6900,Repairs & Maintenance,Customer B LLC,Routine purchase,JE-10573,non_standard
2024-04-22,306.67,306.67,0.0,6200,Utilities Expense,Greenline Insurance,Equipment lease,JE-10574,non_standard
2024-09-18,809.69,809.69,0.0,6010,Payroll Tax Expense,Summit Marketing Group,Recurring charge,JE-10575,standard
2024-04-29,1148.37,1148.37,0.0,6400,Professional Fees,Quantum Software Inc,Reimbursement,JE-10576,standard
2024-03-24,302.5,302.5,0.0,6700,Software Subscriptions,Citywide Rentals LLC,Service rendered,JE-10577,non_standard
2024-09-09,5000.0,5000.0,0.0,6200,Utilities Expense,Standard Bank,Subscription renewal,JE-10578,non_standard
2024-11-02,4850.0,4850.0,0.0,6600,Marketing Expense,Vista Trading Co #1989,,JE-10579,non_standard
2024-10-21,2870.2,0.0,2870.2,2000,Accounts Payable,Citywide Rentals LLC,Vendor payment,JE-10580,standard
2024-08-25,5061.84,0.0,5061.84,2000,Accounts Payable,Customer C Holdings,Monthly invoice,JE-10581,standard
2024-04-09,50.0,50.0,0.0,6900,Repairs & Maintenance,Reliant Repair Services,Supplies order,JE-10582,non_standard
2024-01-30,5477.8,0.0,5477.8,4100,Service Revenue,Reliant Repair Services,Supplies order,JE-10583,standard
2024-12-17,2016.17,2016.17,0.0,6400,Professional Fees,Bridgepoint Travel,Vendor payment,JE-10584,standard
2024-05-08,3734.27,3734.27,0.0,5000,Cost of Goods Sold,Citywide Rentals LLC,Subscription renewal,JE-10585,non_standard
2024-03-22,6008.43,0.0,6008.43,2000,Accounts Payable,Customer D Industries,Recurring charge,JE-10586,standard
2024-09-30,9897.04,9897.04,0.0,5100,Inventory Purchases,Vector IT Solutions,Equipment lease,JE-10587,standard
2024-08-14,1836.05,1836.05,0.0,7000,Cash Disbursements,Bridgepoint Travel,Supplies order,JE-10588,standard
2024-04-27,2315.7,2315.7,0.0,7000,Cash Disbursements,Reliant Repair Services,Service rendered,JE-10589,standard
2024-12-13,7500.0,7500.0,0.0,6800,Insurance Expense,Apex Payroll Services,Monthly invoice,JE-10590,non_standard
2024-12-24,1125.32,1125.32,0.0,6800,Insurance Expense,Reliant Repair Services,Equipment lease,JE-10591,non_standard
2024-04-17,2007.06,2007.06,0.0,6800,Insurance Expense,Customer C Holdings,Equipment lease,JE-10592,non_standard
2024-05-27,3485.71,0.0,3485.71,4000,Sales Revenue,Customer C Holdings,Recurring charge,JE-10593,standard
2024-08-21,179.71,179.71,0.0,6600,Marketing Expense,Vector IT Solutions,Routine purchase,JE-10594,non_standard
2024-07-26,528.29,528.29,0.0,6200,Utilities Expense,Vector IT Solutions,Supplies order,JE-10595,non_standard
2024-04-23,3701.75,3701.75,0.0,5100,Inventory Purchases,Greenline Insurance,Routine purchase,JE-10596,standard
2024-12-27,81.01,81.01,0.0,6700,Software Subscriptions,Greenline Insurance,Service rendered,JE-10597,non_standard
2024-01-28,848.99,848.99,0.0,5100,Inventory Purchases,Pacific Office Co,Service rendered,JE-10598,standard
2024-03-22,6360.48,6360.48,0.0,1200,Accounts Receivable,Customer B LLC,Subscription renewal,JE-10599,standard
2024-12-02,8521.2,8521.2,0.0,1200,Accounts Receivable,Apex Payroll Services,Supplies order,JE-10600,standard
2024-03-15,50.0,50.0,0.0,7000,Cash Disbursements,Bayview Logistics,Routine purchase,JE-10601,standard
2024-06-23,1048.09,1048.09,0.0,6800,Insurance Expense,Customer A Corp,Reimbursement,JE-10602,non_standard
2024-07-02,9097.79,0.0,9097.79,4000,Sales Revenue,Bayview Logistics,Equipment lease,JE-10603,standard
2024-09-26,6481.63,6481.63,0.0,6000,Salaries Expense,Summit Marketing Group,Equipment lease,JE-10604,standard
2024-12-05,510.8,510.8,0.0,6700,Software Subscriptions,Apex Payroll Services,Equipment lease,JE-10605,non_standard
2024-08-27,6236.41,6236.41,0.0,5000,Cost of Goods Sold,Pacific Office Co,Reimbursement,JE-10606,non_standard
2024-04-22,5234.45,5234.45,0.0,1200,Accounts Receivable,Customer C Holdings,Service rendered,JE-10607,standard
2024-10-17,1093.75,1093.75,0.0,6600,Marketing Expense,Bayview Logistics,Monthly invoice,JE-10608,non_standard
2024-06-27,862.08,862.08,0.0,6600,Marketing Expense,Acme Supplies Inc,Reimbursement,JE-10609,non_standard
2024-11-20,544.18,544.18,0.0,6700,Software Subscriptions,Vector IT Solutions,Service rendered,JE-10610,non_standard
2024-06-25,5966.85,5966.85,0.0,6000,Salaries Expense,Acme Supplies Inc,Equipment lease,JE-10611,standard
2024-04-13,893.57,0.0,893.57,4100,Service Revenue,Customer C Holdings,Service rendered,JE-10612,standard
2024-09-24,953.08,953.08,0.0,6800,Insurance Expense,Customer D Industries,Service rendered,JE-10613,non_standard
2024-07-05,1150.83,1150.83,0.0,6800,Insurance Expense,Bayview Logistics,Recurring charge,JE-10614,non_standard
2024-09-07,380.53,380.53,0.0,6900,Repairs & Maintenance,Customer D Industries,Service rendered,JE-10615,non_standard
2024-11-07,5325.89,5325.89,0.0,5000,Cost of Goods Sold,Pacific Office Co,Recurring charge,JE-10616,non_standard
2024-03-01,1963.76,1963.76,0.0,5000,Cost of Goods Sold,Apex Payroll Services,Reimbursement,JE-10617,non_standard
2024-05-17,2599.84,2599.84,0.0,7000,Cash Disbursements,Reliant Repair Services,Monthly invoice,JE-10618,standard
2024-02-28,592.62,592.62,0.0,6900,Repairs & Maintenance,Northstar Utilities,Service rendered,JE-10619,non_standard
2024-08-28,3920.95,0.0,3920.95,4000,Sales Revenue,Greenline Insurance,Reimbursement,JE-10620,standard
2024-11-13,457.33,457.33,0.0,6200,Utilities Expense,Greenline Insurance,Supplies order,JE-10621,non_standard
2024-06-28,627.91,627.91,0.0,6700,Software Subscriptions,Customer A Corp,Vendor payment,JE-10622,non_standard
2024-07-18,1279.53,1279.53,0.0,6800,Insurance Expense,Acme Supplies Inc,Service rendered,JE-10623,non_standard
2024-07-14,24850.0,24850.0,0.0,6500,Travel & Entertainment,Pinecone Partners #1992,,JE-10624,non_standard
2024-11-09,1715.79,1715.79,0.0,6600,Marketing Expense,Vector IT Solutions,Subscription renewal,JE-10625,non_standard
2024-12-13,381.32,381.32,0.0,6900,Repairs & Maintenance,Greenline Insurance,Service rendered,JE-10626,non_standard
2024-03-16,7961.75,7961.75,0.0,1200,Accounts Receivable,Pacific Office Co,Routine purchase,JE-10627,standard
2024-02-02,1949.69,0.0,1949.69,4100,Service Revenue,Pacific Office Co,Vendor payment,JE-10628,standard
2024-12-23,6567.98,6567.98,0.0,6000,Salaries Expense,Customer C Holdings,Vendor payment,JE-10629,standard
2024-09-16,1139.76,1139.76,0.0,6400,Professional Fees,Citywide Rentals LLC,Routine purchase,JE-10630,standard
2024-07-17,2500.0,2500.0,0.0,6800,Insurance Expense,Vector IT Solutions,Recurring charge,JE-10631,non_standard
2024-09-16,5574.52,5574.52,0.0,1200,Accounts Receivable,Acme Supplies Inc,Recurring charge,JE-10632,standard
2024-09-24,4523.29,0.0,4523.29,4000,Sales Revenue,Greenline Insurance,Reimbursement,JE-10633,standard
2024-10-01,50.0,50.0,0.0,6300,Office Supplies,Northstar Utilities,Equipment lease,JE-10634,non_standard
2024-02-08,3219.78,0.0,3219.78,4100,Service Revenue,Summit Marketing Group,Subscription renewal,JE-10635,standard
2024-05-19,3039.38,3039.38,0.0,6400,Professional Fees,Acme Supplies Inc,Monthly invoice,JE-10636,standard
2024-11-21,3573.44,3573.44,0.0,6400,Professional Fees,Standard Bank,Reimbursement,JE-10637,standard
2024-11-28,452.11,452.11,0.0,6700,Software Subscriptions,Bayview Logistics,Reimbursement,JE-10638,non_standard
2024-05-16,514.31,514.31,0.0,6300,Office Supplies,Northstar Utilities,Supplies order,JE-10639,non_standard
2024-06-03,2767.95,2767.95,0.0,5000,Cost of Goods Sold,Acme Supplies Inc,Vendor payment,JE-10640,non_standard
2024-09-28,4096.27,0.0,4096.27,4100,Service Revenue,Apex Payroll Services,Monthly invoice,JE-10641,standard
2024-08-13,6253.19,0.0,6253.19,4100,Service Revenue,Citywide Rentals LLC,Recurring charge,JE-10642,standard
2024-12-26,4014.0,0.0,4014.0,4100,Service Revenue,Bridgepoint Travel,Equipment lease,JE-10643,standard
2024-02-20,5000.0,5000.0,0.0,6700,Software Subscriptions,Quantum Software Inc,Routine purchase,JE-10644,non_standard
2024-11-26,50.0,50.0,0.0,6400,Professional Fees,Vector IT Solutions,Reimbursement,JE-10645,standard
2024-11-25,780.68,780.68,0.0,6500,Travel & Entertainment,Apex Payroll Services,Equipment lease,JE-10646,non_standard
2024-01-29,2174.46,0.0,2174.46,2000,Accounts Payable,Greenline Insurance,Subscription renewal,JE-10647,standard
2024-02-21,9567.46,9567.46,0.0,5100,Inventory Purchases,Vector IT Solutions,Subscription renewal,JE-10648,standard
2024-12-24,493.67,493.67,0.0,6300,Office Supplies,Customer D Industries,Service rendered,JE-10649,non_standard
2024-07-30,3085.28,3085.28,0.0,6100,Rent Expense,Summit Marketing Group,Supplies order,JE-10650,non_standard
2024-11-01,987.72,987.72,0.0,7000,Cash Disbursements,Bayview Logistics,Routine purchase,JE-10651,standard
2024-08-20,50.0,50.0,0.0,6600,Marketing Expense,Acme Supplies Inc,Subscription renewal,JE-10652,non_standard
2024-05-17,3596.77,3596.77,0.0,6400,Professional Fees,Greenline Insurance,Equipment lease,JE-10653,standard
2024-05-13,50.0,50.0,0.0,1200,Accounts Receivable,Quantum Software Inc,Subscription renewal,JE-10654,standard
2024-01-04,4257.08,4257.08,0.0,7000,Cash Disbursements,Reliant Repair Services,Supplies order,JE-10655,standard
2024-12-19,699.39,0.0,699.39,4100,Service Revenue,Standard Bank,Routine purchase,JE-10656,standard
2024-05-04,4850.0,4850.0,0.0,6200,Utilities Expense,Pinecone Partners #1993,,JE-10657,non_standard
2024-06-13,1841.01,0.0,1841.01,2000,Accounts Payable,Bridgepoint Travel,Recurring charge,JE-10658,standard
2024-03-14,313.87,313.87,0.0,6200,Utilities Expense,Customer C Holdings,Monthly invoice,JE-10659,non_standard
2024-11-13,1142.85,1142.85,0.0,6800,Insurance Expense,Greenline Insurance,Service rendered,JE-10660,non_standard
2024-07-17,4813.85,4813.85,0.0,5100,Inventory Purchases,Quantum Software Inc,Subscription renewal,JE-10661,standard
2024-09-15,4199.13,0.0,4199.13,4000,Sales Revenue,Customer B LLC,Routine purchase,JE-10662,standard
2024-12-13,2784.67,2784.67,0.0,1200,Accounts Receivable,Apex Payroll Services,Monthly invoice,JE-10663,standard
2024-11-29,484.05,484.05,0.0,6600,Marketing Expense,Summit Marketing Group,Supplies order,JE-10664,non_standard
2024-03-13,1133.99,1133.99,0.0,6800,Insurance Expense,Summit Marketing Group,Vendor payment,JE-10665,non_standard
2024-08-28,2421.31,2421.31,0.0,5100,Inventory Purchases,Vector IT Solutions,Service rendered,JE-10666,standard
2024-11-12,678.2,678.2,0.0,6200,Utilities Expense,Customer C Holdings,Service rendered,JE-10667,non_standard
2024-04-25,3062.83,3062.83,0.0,6100,Rent Expense,Greenline Insurance,Routine purchase,JE-10668,non_standard
2024-03-20,564.26,564.26,0.0,6300,Office Supplies,Citywide Rentals LLC,Reimbursement,JE-10669,non_standard
2024-01-29,1721.09,0.0,1721.09,2000,Accounts Payable,Vector IT Solutions,Recurring charge,JE-10670,standard
2024-03-29,289.25,289.25,0.0,6500,Travel & Entertainment,Bridgepoint Travel,Monthly invoice,JE-10671,non_standard
2024-12-20,921.41,921.41,0.0,6010,Payroll Tax Expense,Apex Payroll Services,Routine purchase,JE-10672,standard
2024-03-17,884.33,884.33,0.0,7000,Cash Disbursements,Standard Bank,Vendor payment,JE-10673,standard
2024-12-19,3095.51,3095.51,0.0,6100,Rent Expense,Customer D Industries,Reimbursement,JE-10674,non_standard
2024-09-19,6490.43,6490.43,0.0,6000,Salaries Expense,Customer B LLC,Equipment lease,JE-10675,standard
2024-12-26,1705.67,1705.67,0.0,6600,Marketing Expense,Bayview Logistics,Subscription renewal,JE-10676,non_standard
2024-03-21,7205.98,7205.98,0.0,6000,Salaries Expense,Pacific Office Co,Vendor payment,JE-10677,standard
2024-07-14,3417.95,0.0,3417.95,4100,Service Revenue,Northstar Utilities,Recurring charge,JE-10678,standard
2024-02-25,9850.0,9850.0,0.0,6200,Utilities Expense,Brightway Group #1985,,JE-10679,non_standard
